Schedule generated with strategy: ShortestDurationFirst
Total execute time: 1134
Operations:
operation id:   0 | earliest start:   4 | start:  123 | end:  129 | duration:   6 | batch id: 0 | group id: 0 | predecessor ids: []
operation id:   1 | earliest start:   4 | start:  314 | end:  315 | duration:   1 | batch id: 0 | group id: 1 | predecessor ids: [0]
operation id:   2 | earliest start:   4 | start:  368 | end:  375 | duration:   7 | batch id: 0 | group id: 0 | predecessor ids: [1]
operation id:   3 | earliest start:   4 | start:  642 | end:  645 | duration:   3 | batch id: 0 | group id: 1 | predecessor ids: [2]
operation id:   4 | earliest start:   0 | start:    7 | end:   12 | duration:   5 | batch id: 1 | group id: 0 | predecessor ids: []
operation id:   5 | earliest start:   0 | start:   34 | end:   41 | duration:   7 | batch id: 1 | group id: 1 | predecessor ids: [4]
operation id:   6 | earliest start:   0 | start:  209 | end:  210 | duration:   1 | batch id: 1 | group id: 0 | predecessor ids: [5]
operation id:   7 | earliest start:   0 | start:  393 | end:  397 | duration:   4 | batch id: 1 | group id: 1 | predecessor ids: [6]
operation id:   8 | earliest start:   0 | start:  429 | end:  433 | duration:   4 | batch id: 1 | group id: 0 | predecessor ids: [7]
operation id:   9 | earliest start:   0 | start:  720 | end:  724 | duration:   4 | batch id: 1 | group id: 1 | predecessor ids: [8]
operation id:  10 | earliest start:   0 | start:    3 | end:    7 | duration:   4 | batch id: 1 | group id: 0 | predecessor ids: []
operation id:  11 | earliest start:   0 | start:   17 | end:   27 | duration:  10 | batch id: 1 | group id: 1 | predecessor ids: [10]
operation id:  12 | earliest start:   0 | start:  206 | end:  211 | duration:   5 | batch id: 1 | group id: 0 | predecessor ids: [11]
operation id:  13 | earliest start:   0 | start:  397 | end:  402 | duration:   5 | batch id: 1 | group id: 1 | predecessor ids: [12]
operation id:  14 | earliest start:   0 | start:  430 | end:  439 | duration:   9 | batch id: 1 | group id: 0 | predecessor ids: [13]
operation id:  15 | earliest start:   0 | start:    0 | end:    1 | duration:   1 | batch id: 1 | group id: 0 | predecessor ids: []
operation id:  16 | earliest start:   0 | start:    6 | end:   12 | duration:   6 | batch id: 1 | group id: 1 | predecessor ids: [15]
operation id:  17 | earliest start:   0 | start:  199 | end:  205 | duration:   6 | batch id: 1 | group id: 0 | predecessor ids: [16]
operation id:  18 | earliest start:   0 | start:  385 | end:  392 | duration:   7 | batch id: 1 | group id: 1 | predecessor ids: [17]
operation id:  19 | earliest start:   4 | start:  135 | end:  142 | duration:   7 | batch id: 0 | group id: 0 | predecessor ids: []
operation id:  20 | earliest start:   4 | start:  327 | end:  331 | duration:   4 | batch id: 0 | group id: 1 | predecessor ids: [19]
operation id:  21 | earliest start:   4 | start:  378 | end:  387 | duration:   9 | batch id: 0 | group id: 0 | predecessor ids: [20]
operation id:  22 | earliest start:   4 | start:  654 | end:  664 | duration:  10 | batch id: 0 | group id: 1 | predecessor ids: [21]
operation id:  23 | earliest start:   4 | start:  664 | end:  665 | duration:   1 | batch id: 0 | group id: 0 | predecessor ids: [22]
operation id:  24 | earliest start:   4 | start:  871 | end:  872 | duration:   1 | batch id: 0 | group id: 1 | predecessor ids: [23]
operation id:  25 | earliest start:   4 | start:   88 | end:   90 | duration:   2 | batch id: 2 | group id: 0 | predecessor ids: []
operation id:  26 | earliest start:   4 | start:  172 | end:  179 | duration:   7 | batch id: 2 | group id: 1 | predecessor ids: [25]
operation id:  27 | earliest start:   4 | start:  296 | end:  304 | duration:   8 | batch id: 2 | group id: 0 | predecessor ids: [26]
operation id:  28 | earliest start:   4 | start:  509 | end:  514 | duration:   5 | batch id: 2 | group id: 1 | predecessor ids: [27]
operation id:  29 | earliest start:   4 | start:  104 | end:  108 | duration:   4 | batch id: 2 | group id: 0 | predecessor ids: []
operation id:  30 | earliest start:   4 | start:  267 | end:  274 | duration:   7 | batch id: 2 | group id: 1 | predecessor ids: [29]
operation id:  31 | earliest start:   4 | start:  337 | end:  347 | duration:  10 | batch id: 2 | group id: 0 | predecessor ids: [30]
operation id:  32 | earliest start:   4 | start:  589 | end:  596 | duration:   7 | batch id: 2 | group id: 1 | predecessor ids: [31]
operation id:  33 | earliest start:   4 | start:  596 | end:  600 | duration:   4 | batch id: 2 | group id: 0 | predecessor ids: [32]
operation id:  34 | earliest start:   0 | start:   15 | end:   21 | duration:   6 | batch id: 1 | group id: 0 | predecessor ids: []
operation id:  35 | earliest start:   0 | start:   43 | end:   50 | duration:   7 | batch id: 1 | group id: 1 | predecessor ids: [34]
