Schedule generated with strategy: LongestSuccessorDuration
Total execute time: 1136
Operations:
operation id:   0 | earliest start:   4 | start:  322 | end:  328 | duration:   6 | batch id: 0 | group id: 0 | predecessor ids: []
operation id:   1 | earliest start:   4 | start:  387 | end:  388 | duration:   1 | batch id: 0 | group id: 1 | predecessor ids: [0]
operation id:   2 | earliest start:   4 | start:  388 | end:  395 | duration:   7 | batch id: 0 | group id: 0 | predecessor ids: [1]
operation id:   3 | earliest start:   4 | start:  538 | end:  541 | duration:   3 | batch id: 0 | group id: 1 | predecessor ids: [2]
operation id:   4 | earliest start:   0 | start:   79 | end:   84 | duration:   5 | batch id: 1 | group id: 0 | predecessor ids: []
operation id:   5 | earliest start:   0 | start:  623 | end:  630 | duration:   7 | batch id: 1 | group id: 1 | predecessor ids: [4]
operation id:   6 | earliest start:   0 | start:  630 | end:  631 | duration:   1 | batch id: 1 | group id: 0 | predecessor ids: [5]
operation id:   7 | earliest start:   0 | start:  638 | end:  642 | duration:   4 | batch id: 1 | group id: 1 | predecessor ids: [6]
operation id:   8 | earliest start:   0 | start:  642 | end:  646 | duration:   4 | batch id: 1 | group id: 0 | predecessor ids: [7]
operation id:   9 | earliest start:   0 | start: 1054 | end: 1058 | duration:   4 | batch id: 1 | group id: 1 | predecessor ids: [8]
operation id:  10 | earliest start:   0 | start:    0 | end:    4 | duration:   4 | batch id: 1 | group id: 0 | predecessor ids: []
operation id:  11 | earliest start:   0 | start:  269 | end:  279 | duration:  10 | batch id: 1 | group id: 1 | predecessor ids: [10]
operation id:  12 | earliest start:   0 | start:  279 | end:  284 | duration:   5 | batch id: 1 | group id: 0 | predecessor ids: [11]
operation id:  13 | earliest start:   0 | start:  306 | end:  311 | duration:   5 | batch id: 1 | group id: 1 | predecessor ids: [12]
operation id:  14 | earliest start:   0 | start:  439 | end:  448 | duration:   9 | batch id: 1 | group id: 0 | predecessor ids: [13]
operation id:  15 | earliest start:   0 | start:    2 | end:    3 | duration:   1 | batch id: 1 | group id: 0 | predecessor ids: []
operation id:  16 | earliest start:   0 | start:  203 | end:  209 | duration:   6 | batch id: 1 | group id: 1 | predecessor ids: [15]
operation id:  17 | earliest start:   0 | start:  209 | end:  215 | duration:   6 | batch id: 1 | group id: 0 | predecessor ids: [16]
operation id:  18 | earliest start:   0 | start:  902 | end:  909 | duration:   7 | batch id: 1 | group id: 1 | predecessor ids: [17]
operation id:  19 | earliest start:   4 | start:  196 | end:  203 | duration:   7 | batch id: 0 | group id: 0 | predecessor ids: []
operation id:  20 | earliest start:   4 | start:  338 | end:  342 | duration:   4 | batch id: 0 | group id: 1 | predecessor ids: [19]
operation id:  21 | earliest start:   4 | start:  342 | end:  351 | duration:   9 | batch id: 0 | group id: 0 | predecessor ids: [20]
operation id:  22 | earliest start:   4 | start:  715 | end:  725 | duration:  10 | batch id: 0 | group id: 1 | predecessor ids: [21]
operation id:  23 | earliest start:   4 | start:  725 | end:  726 | duration:   1 | batch id: 0 | group id: 0 | predecessor ids: [22]
operation id:  24 | earliest start:   4 | start: 1059 | end: 1060 | duration:   1 | batch id: 0 | group id: 1 | predecessor ids: [23]
operation id:  25 | earliest start:   4 | start:   84 | end:   86 | duration:   2 | batch id: 2 | group id: 0 | predecessor ids: []
operation id:  26 | earliest start:   4 | start:   98 | end:  105 | duration:   7 | batch id: 2 | group id: 1 | predecessor ids: [25]
operation id:  27 | earliest start:   4 | start:  184 | end:  192 | duration:   8 | batch id: 2 | group id: 0 | predecessor ids: [26]
operation id:  28 | earliest start:   4 | start:  924 | end:  929 | duration:   5 | batch id: 2 | group id: 1 | predecessor ids: [27]
operation id:  29 | earliest start:   4 | start:   84 | end:   88 | duration:   4 | batch id: 2 | group id: 0 | predecessor ids: []
operation id:  30 | earliest start:   4 | start:  105 | end:  112 | duration:   7 | batch id: 2 | group id: 1 | predecessor ids: [29]
operation id:  31 | earliest start:   4 | start:  112 | end:  122 | duration:  10 | batch id: 2 | group id: 0 | predecessor ids: [30]
operation id:  32 | earliest start:   4 | start:  136 | end:  143 | duration:   7 | batch id: 2 | group id: 1 | predecessor ids: [31]
operation id:  33 | earliest start:   4 | start:  143 | end:  147 | duration:   4 | batch id: 2 | group id: 0 | predecessor ids: [32]
operation id:  34 | earliest start:   0 | start:   86 | end:   92 | duration:   6 | batch id: 1 | group id: 0 | predecessor ids: []
operation id:  35 | earliest start:   0 | start:  377 | end:  384 | duration:   7 | batch id: 1 | group id: 1 | predecessor ids: [34]
operation id:  36 | earliest start:   0 | start:  384 | end:  388 | duration:   4 | batch id: 1 | group id: 0 | predecessor ids: [35]
operation id:  37 | earliest start:   0 | start:  388 | end:  398 | duration:  10 | batch id: 1 | group id: 1 | predecessor ids: [36]
operation id:  38 | earliest start:   0 | start:  412 | end:  417 | duration:   5 | batch id: 1 | group id: 0 | predecessor ids: [37]
operation id:  39 | earliest start:   4 | start:  328 | end:  337 | duration:   9 | batch id: 0 | group id: 0 | predecessor ids: []
operation id:  40 | earliest start:   4 | start:  574 | end:  575 | duration:   1 | batch id: 0 | group id: 1 | predecessor ids: [39]
operation id:  41 | earliest start:   4 | start:  578 | end:  579 | duration:   1 | batch id: 0 | group id: 0 | predecessor ids: [40]
operation id:  42 | earliest start:   4 | start: 1107 | end: 1111 | duration:   4 | batch id: 0 | group id: 1 | predecessor ids: [41]
operation id:  43 | earliest start:   4 | start:   16 | end:   19 | duration:   3 | batch id: 2 | group id: 0 | predecessor ids: []
operation id:  44 | earliest start:   4 | start:   64 | end:   74 | duration:  10 | batch id: 2 | group id: 1 | predecessor ids: [43]
operation id:  45 | earliest start:   4 | start:  370 | end:  379 | duration:   9 | batch id: 2 | group id: 0 | predecessor ids: [44]
operation id:  46 | earliest start:   4 | start:  909 | end:  910 | duration:   1 | batch id: 2 | group id: 1 | predecessor ids: [45]
operation id:  47 | earliest start:   4 | start:   31 | end:   33 | duration:   2 | batch id: 0 | group id: 0 | predecessor ids: []
operation id:  48 | earliest start:   4 | start:  609 | end:  618 | duration:   9 | batch id: 0 | group id: 1 | predecessor ids: [47]
operation id:  49 | earliest start:   4 | start:  618 | end:  619 | duration:   1 | batch id: 0 | group id: 0 | predecessor ids: [48]
operation id:  50 | earliest start:   4 | start:  619 | end:  623 | duration:   4 | batch id: 0 | group id: 1 | predecessor ids: [49]
operation id:  51 | earliest start:   4 | start:  227 | end:  231 | duration:   4 | batch id: 0 | group id: 0 | predecessor ids: []
operation id:  52 | earliest start:   4 | start:  471 | end:  474 | duration:   3 | batch id: 0 | group id: 1 | predecessor ids: [51]
operation id:  53 | earliest start:   4 | start:  474 | end:  477 | duration:   3 | batch id: 0 | group id: 0 | predecessor ids: [52]
operation id:  54 | earliest start:   4 | start:  995 | end: 1005 | duration:  10 | batch id: 0 | group id: 1 | predecessor ids: [53]
operation id:  55 | earliest start:   4 | start:   19 | end:   24 | duration:   5 | batch id: 2 | group id: 0 | predecessor ids: []
operation id:  56 | earliest start:   4 | start:  367 | end:  377 | duration:  10 | batch id: 2 | group id: 1 | predecessor ids: [55]
operation id:  57 | earliest start:   4 | start:  379 | end:  380 | duration:   1 | batch id: 2 | group id: 0 | predecessor ids: [56]
operation id:  58 | earliest start:   4 | start:  331 | end:  338 | duration:   7 | batch id: 2 | group id: 0 | predecessor ids: []
operation id:  59 | earliest start:   4 | start:  479 | end:  480 | duration:   1 | batch id: 2 | group id: 1 | predecessor ids: [58]
operation id:  60 | earliest start:   4 | start:  480 | end:  489 | duration:   9 | batch id: 2 | group id: 0 | predecessor ids: [59]
operation id:  61 | earliest start:   4 | start:  586 | end:  587 | duration:   1 | batch id: 2 | group id: 1 | predecessor ids: [60]
operation id:  62 | earliest start:   4 | start:  620 | end:  627 | duration:   7 | batch id: 2 | group id: 0 | predecessor ids: [61]
operation id:  63 | earliest start:   0 | start:  359 | end:  369 | duration:  10 | batch id: 1 | group id: 0 | predecessor ids: []
